gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SGMS2,6.873127701753268,-1.030754544252206,0.14776721875770557,-6.9755291661971235,3.0472165231663082e-12,2.0294462044287613e-9
ENPP2,5.851701089172861,0.9729419496628499,0.20035218042856356,4.856158528355804,1.1968489596108854e-6,1.1387162958583566e-4
HMGCR,3.9160035045527866,-0.838799296353547,0.1607620577507531,-5.217644686123816,1.8121265932571665e-7,3.0171907777731823e-5
SQLE,4.471371009151384,-0.8329949347777669,0.16627425834016285,-5.009764849310775,5.449658187735236e-7,7.258944706063334e-5
AGPAT4,3.7635981820499467,-0.80753365216616,0.19361059313925696,-4.170916679054492,3.0337678143978212e-5,0.0010634154549415522
DHRS3,6.157274421276682,0.8016802580751899,0.17364477850130203,4.616782980717032,3.897344586319229e-6,2.163026245407172e-4
PLA1A,4.738158515185238,-0.7860440241281116,0.19478781478900906,-4.035386017239023,5.451259901550519e-5,0.0017288281402060219
CYP1B1,7.497920253646019,-0.7174907040730618,0.19444350852517228,-3.6899699533048533,2.2428054076547844e-4,0.005532253338881802
MGLL,3.5373007759503445,-0.7117992737507355,0.21289976146753378,-3.3433540218375564,8.277222984412349e-4,0.014013393447957984
ALDH1A1,5.466898452201012,-0.6913621209028913,0.2143716132268766,-3.2250637595902205,0.0012594461614876494,0.018308474095990693
MIF,48.7951946939401,0.6422897910303276,0.17727582498305874,3.6231098689948706,2.9108210631022784e-4,0.006462022760087058
NME1,15.54779731943977,0.6333871686656556,0.11646833902456973,5.438277681044619,5.379808386859753e-8,1.1943174618828653e-5
GAPDH,507.36275296619016,0.6284240606714885,0.13949854600204864,4.5048789301521435,6.641079427063088e-6,3.402276075710782e-4
FBP1,58.184655402863406,0.6113412754831754,0.15424138297737877,3.9635360088338643,7.384771858027033e-5,0.0022355718442936385
CYP27A1,6.923076600669286,0.6059905703313151,0.18842960751801513,3.216005055221369,0.0012998854232751345,0.01841965301917531
GPAT3,14.825086752289485,-0.6050032813738476,0.19944869629967507,-3.0333779693642113,0.0024183249662797176,0.02825621802705775
PNP,10.975246121172255,-0.5945821280089704,0.14675921275218864,-4.051412629290649,5.090933632676461e-5,0.0016952808996812615
DNMT1,14.662443922979053,0.590285584940699,0.12643373667900953,4.66873478903276,3.03060297250444e-6,2.0183815796879568e-4
HMGCS1,5.612016927597908,-0.5871716925125202,0.13340726492885593,-4.4013472041844945,1.0758081425359029e-5,5.117773020920795e-4
CPT1A,4.67608313729715,-0.5823528084776923,0.17781096229228674,-3.2751232037112383,0.0010561590169936113,0.016322268223252202
ALDOA,129.30791846888488,0.5616995516781923,0.11839181861670636,4.744411887925256,2.091129750139099e-6,1.547436015102933e-4
B3GNT5,30.97092308982769,-0.5583212042368251,0.17621870541080722,-3.1683424465935506,0.0015331082013338073,0.020421001241766313
INPP1,4.4777728834992825,-0.5471109637046542,0.15787623534090595,-3.465442170718502,5.293603578336141e-4,0.010445782622245882
LTC4S,10.015246378904244,-0.5400436852303853,0.15912114340658517,-3.393915313004442,6.890099597493163e-4,0.012594084121741065
CHSY1,10.452030893667583,-0.5052365829088881,0.13016142166963518,-3.881615431269929,1.0376487816608953e-4,0.0028974815662286056
TPI1,129.64374051122326,0.4983740078601722,0.10759974224798258,4.631739792755093,3.626057027896582e-6,2.163026245407172e-4
FADS1,5.987474548017802,-0.4841887183317661,0.14284083860803587,-3.3897078948157815,6.996713400967259e-4,0.012594084121741065
CBR1,7.008481981717381,0.4811509368628622,0.13765857998523617,3.4952484393959713,4.736206797259852e-4,0.009857230396797067
SGMS1,4.5182451756721385,-0.47883960422675903,0.16176495696023807,-2.9600947771677033,0.0030754441305282606,0.03303622243438422
GLUD1,15.158116162025378,-0.4626597304688376,0.0826549453227554,-5.597483957701738,2.1748496986668175e-8,7.242249496560502e-6
DGKA,4.51712412928199,-0.4559911308382206,0.14629134373414343,-3.1170069205659727,0.0018269728329555273,0.022532664939784838
PGAM1,37.32090051501076,0.45107487000259266,0.09213353365897022,4.895881576324144,9.786599176215564e-7,1.0863125085599275e-4
ENO1,122.52642304999472,0.4386608960241524,0.10246651066210916,4.281017214206395,1.8604096463347174e-5,7.288428379170128e-4
PKM,94.97713057123728,0.4369580257337816,0.09116355697022777,4.793121728197635,1.642059204788851e-6,1.3670142879867184e-4
PIGA,4.518241029012473,-0.42448588033152324,0.14938120998327692,-2.8416283438796888,0.004488378177846978,0.04461581890218041
GM2A,10.740560867536304,0.42033316195249576,0.11434951568468536,3.6758630715284286,2.370466485456417e-4,0.005638323854692763
PGK1,75.19969737545887,0.4142399886737592,0.10676014639605641,3.8800994814771137,1.0441375013436416e-4,0.0028974815662286056
HACD4,15.264762313295705,-0.4113379127943173,0.09512645936494714,-4.324116713061329,1.5314420817743248e-5,6.374627665385626e-4
PPA1,56.58687633819068,0.4078283693298144,0.14574215097133655,2.7982870199989223,0.005137443805845266,0.04887910820989924
PDXK,18.237294816553533,0.4002630558502621,0.12771006939201665,3.1341542429330413,0.0017235023480913028,0.02207408776593861
UQCR10,52.2280686508943,0.3983590999722392,0.094494207956719,4.215698597682292,2.490061467589556e-5,9.213227430081357e-4
IPMK,5.44445624636652,-0.3948877725143664,0.14171774254898353,-2.786438489717523,0.005329073080055194,0.04998820663826422
UAP1,7.161653950153955,-0.3944204606065733,0.11388034467475006,-3.4634638816124483,5.332681819164564e-4,0.010445782622245882
NDUFV3,12.307461861362107,0.3886293856721698,0.10076689520664596,3.856716879836328,1.1492013679383427e-4,0.0030614724441877447
SAMD8,6.1661726947604185,-0.3832988718191865,0.12708681037055922,-3.0160397503215726,0.0025609968403124384,0.02890887958725566
BCAT1,13.61695043209538,0.3770626983416927,0.11193840735452405,3.3684836800248927,7.55828715621885e-4,0.01324689275274146
SDSL,12.077438646706566,0.3761245472674548,0.1035747485095694,3.6314309489508845,2.8185407495381784e-4,0.006462022760087058
ALG13,12.268788342736995,-0.36965131059438155,0.1129857691656601,-3.2716625582501244,0.0010691710353415832,0.016322268223252202
